RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714648347.7726266,0.58460575342178345 0.78318166732788086 0.27761369943618774,-0.0043480172753334045  0.0019505127565935254   0.043110065162181854    0.99905896186828613,0.58460575342178345 0.78318166732788086 0.27761369943618774,-0.0043480172753334045  0.0019505127565935254   0.043110065162181854    0.99905896186828613
1714648347.7776227,0.58448302745819092 0.78900659084320068 0.27760651707649231,-0.0042968671768903732  0.0019730720669031143   0.042496055364608765    0.99908542633056641,0.58448302745819092 0.78900659084320068 0.27760651707649231,-0.0042968671768903732  0.0019730720669031143   0.042496055364608765    0.99908542633056641
1714648347.78265,0.58439624309539795 0.79490560293197632 0.27749678492546082,-0.0043695350177586079  0.0019316786201670766   0.041519470512866974    0.99912625551223755,0.58439624309539795 0.79490560293197632 0.27749678492546082,-0.0043695350177586079  0.0019316786201670766   0.041519470512866974    0.99912625551223755
1714648347.7926486,0.58423453569412231 0.80398029088973999 0.27750366926193237,-0.0039351806044578552  0.0023492872714996338   0.038861535489559174    0.99923408031463623,0.58423453569412231 0.80398029088973999 0.27750366926193237,-0.0039351806044578552  0.0023492872714996338   0.038861535489559174    0.99923408031463623
1714648347.7976232,0.58423829078674316   0.810016930103302 0.27747476100921631,-0.003708994947373867 0.0024531732778996229  0.037035632878541946   0.99930405616760254,0.58423829078674316   0.810016930103302 0.27747476100921631,-0.003708994947373867 0.0024531732778996229  0.037035632878541946   0.99930405616760254
1714648347.8026237,0.58423614501953125  0.8161197304725647 0.27741125226020813,-0.0035925405099987984  0.0025008863303810358   0.034925486892461777    0.99938035011291504,0.58423614501953125  0.8161197304725647 0.27741125226020813,-0.0035925405099987984  0.0025008863303810358   0.034925486892461777    0.99938035011291504
1714648347.8076231,0.58430963754653931 0.82238215208053589 0.27737283706665039,-0.0030515501275658607  0.0028086795937269926   0.032377798110246658    0.99946707487106323,0.58430963754653931 0.82238215208053589 0.27737283706665039,-0.0030515501275658607  0.0028086795937269926   0.032377798110246658    0.99946707487106323
1714648347.8176229,0.58446329832077026  0.8318408727645874 0.27724084258079529,-0.0027141554746776819  0.0032012965530157089   0.027880042791366577    0.99960243701934814,0.58446329832077026  0.8318408727645874 0.27724084258079529,-0.0027141554746776819  0.0032012965530157089   0.027880042791366577    0.99960243701934814
1714648347.8226247,0.58459722995758057 0.83811742067337036 0.27718257904052734,-0.0027280033100396395  0.0030522479210048914   0.024685801938176155    0.99968689680099487,0.58459722995758057 0.83811742067337036 0.27718257904052734,-0.0027280033100396395  0.0030522479210048914   0.024685801938176155    0.99968689680099487
1714648347.8276238,0.58478492498397827 0.84453690052032471 0.27717369794845581,-0.0020368965342640877   0.003430831478908658   0.021020915359258652    0.99977105855941772,0.58478492498397827 0.84453690052032471 0.27717369794845581,-0.0020368965342640877   0.003430831478908658   0.021020915359258652    0.99977105855941772
1714648347.8326254,0.58502370119094849 0.85086894035339355 0.27712520956993103,-0.0021043913438916206  0.0034875045530498028   0.017140116542577744    0.99984478950500488,0.58502370119094849 0.85086894035339355 0.27712520956993103,-0.0021043913438916206  0.0034875045530498028   0.017140116542577744    0.99984478950500488
1714648347.8426232,0.58529740571975708 0.86036401987075806 0.27717626094818115,-0.0018695010803639889   0.003704580245539546   0.010728019289672375    0.99993383884429932,0.58529740571975708 0.86036401987075806 0.27717626094818115,-0.0018695010803639889   0.003704580245539546   0.010728019289672375    0.99993383884429932
1714648347.8476226,0.58554232120513916 0.86667239665985107 0.27716970443725586,-0.0018564579077064991  0.0033715018071234226  0.0062595987692475319    0.99997299909591675,0.58554232120513916 0.86667239665985107 0.27716970443725586,-0.0018564579077064991  0.0033715018071234226  0.0062595987692475319    0.99997299909591675
1714648347.8526237,0.58582502603530884 0.87296146154403687 0.27714326977729797,-0.0017813887679949403  0.0032647280022501945    0.00143522082362324    0.99999207258224487,0.58582502603530884 0.87296146154403687 0.27714326977729797,-0.0017813887679949403  0.0032647280022501945    0.00143522082362324    0.99999207258224487
1714648347.8576226,0.58613628149032593 0.87920910120010376 0.27715378999710083,-0.0018945197807624936  0.0031832435633987188  -0.003316264133900404    0.99998766183853149,0.58613628149032593 0.87920910120010376 0.27715378999710083,-0.0018945197807624936  0.0031832435633987188  -0.003316264133900404    0.99998766183853149
1714648347.8676221,0.58639603853225708 0.88870519399642944 0.27720797061920166,-0.0017235544510185719  0.0036262951325625181  -0.010909859091043472    0.99993240833282471,0.58639603853225708 0.88870519399642944 0.27720797061920166,-0.0017235544510185719  0.0036262951325625181  -0.010909859091043472    0.99993240833282471
1714648347.872622,0.58729678392410278 0.89441806077957153 0.27727314829826355,-0.0015507444040849805  0.0033987585920840502  -0.016124753281474113    0.99986302852630615,0.58729678392410278 0.89441806077957153 0.27727314829826355,-0.0015507444040849805  0.0033987585920840502  -0.016124753281474113    0.99986302852630615
1714648347.8776245,0.58762037754058838  0.9005134105682373 0.27730962634086609,-0.001590816886164248 0.0034835126716643572  -0.02074425108730793   0.99977749586105347,0.58762037754058838  0.9005134105682373 0.27730962634086609,-0.001590816886164248 0.0034835126716643572  -0.02074425108730793   0.99977749586105347
1714648347.8826241,0.58792030811309814 0.90646064281463623 0.27733621001243591,-0.00099430535919964314   0.0035353244747966528   -0.025744212791323662     0.99966180324554443,0.58792030811309814 0.90646064281463623 0.27733621001243591,-0.00099430535919964314   0.0035353244747966528   -0.025744212791323662     0.99966180324554443
1714648347.8926482,0.58838731050491333 0.91530376672744751 0.27760040760040283,-0.00093919836217537522   0.0034587520640343428   -0.032548297196626663     0.99946373701095581,0.58838731050491333 0.91530376672744751 0.27760040760040283,-0.00093919836217537522   0.0034587520640343428   -0.032548297196626663     0.99946373701095581
1714648347.8976233,0.58872413635253906 0.92117220163345337 0.27698683738708496,-0.0013985817786306143  0.0035203490406274796  -0.036803629249334335    0.99931532144546509,0.58872413635253906 0.92117220163345337 0.27698683738708496,-0.0013985817786306143  0.0035203490406274796  -0.036803629249334335    0.99931532144546509
1714648347.902622,0.58902782201766968 0.92688947916030884 0.27699664235115051,-0.0012323771370574832  0.0032929596491158009  -0.041282292455434799    0.99914133548736572,0.58902782201766968 0.92688947916030884 0.27699664235115051,-0.0012323771370574832  0.0032929596491158009  -0.041282292455434799    0.99914133548736572
