RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714566282.6482887,0.56757831573486328 0.40892636775970459 0.31907927989959717, 0.49714043736457825 -0.50249177217483521 -0.49873590469360352  0.50161325931549072,0.56757831573486328 0.40892636775970459 0.31907927989959717, 0.49714043736457825 -0.50249177217483521 -0.49873590469360352  0.50161325931549072
1714566282.6533134,0.56755316257476807 0.40896794199943542 0.31905001401901245, 0.49711674451828003 -0.50250792503356934 -0.49865251779556274  0.50170350074768066,0.56755316257476807 0.40896794199943542 0.31905001401901245, 0.49711674451828003 -0.50250792503356934 -0.49865251779556274  0.50170350074768066
1714566282.6582642,0.56751120090484619 0.40900009870529175 0.31908264756202698, 0.49718597531318665 -0.50252670049667358 -0.49862712621688843  0.50164133310317993,0.56751120090484619 0.40900009870529175 0.31908264756202698, 0.49718597531318665 -0.50252670049667358 -0.49862712621688843  0.50164133310317993
1714566282.663321,0.56746846437454224 0.40904110670089722 0.31908822059631348,  0.4972088634967804 -0.50249755382537842 -0.49860185384750366  0.50167298316955566,0.56746846437454224 0.40904110670089722 0.31908822059631348,  0.4972088634967804 -0.50249755382537842 -0.49860185384750366  0.50167298316955566
1714566282.6682949,0.56747692823410034 0.40905112028121948 0.31908437609672546, 0.49711337685585022 -0.50253051519393921 -0.49857917428016663  0.50175708532333374,0.56747692823410034 0.40905112028121948 0.31908437609672546, 0.49711337685585022 -0.50253051519393921 -0.49857917428016663  0.50175708532333374
1714566282.6732485,0.56750661134719849 0.40903717279434204  0.3190617561340332, 0.49708551168441772 -0.50249749422073364 -0.49863904714584351  0.50175827741622925,0.56750661134719849 0.40903717279434204  0.3190617561340332, 0.49708551168441772 -0.50249749422073364 -0.49863904714584351  0.50175827741622925
1714566282.6782718,0.56750094890594482 0.40902730822563171 0.31911242008209229, 0.49712613224983215 -0.50247287750244141 -0.49863317608833313  0.50174850225448608,0.56750094890594482 0.40902730822563171 0.31911242008209229, 0.49712613224983215 -0.50247287750244141 -0.49863317608833313  0.50174850225448608
1714566282.6832962,0.56754922866821289 0.40898489952087402  0.3190997838973999, 0.49710673093795776 -0.50249242782592773 -0.49866187572479248  0.50171965360641479,0.56754922866821289 0.40898489952087402  0.3190997838973999, 0.49710673093795776 -0.50249242782592773 -0.49866187572479248  0.50171965360641479
1714566282.6882684,0.56756311655044556 0.40897434949874878 0.31908687949180603, 0.49707907438278198 -0.50248610973358154 -0.49871018528938293   0.5017053484916687,0.56756311655044556 0.40897434949874878 0.31908687949180603, 0.49707907438278198 -0.50248610973358154 -0.49871018528938293   0.5017053484916687
1714566282.6932631,0.56757044792175293 0.40900081396102905 0.31906658411026001, 0.49705952405929565 -0.50249600410461426 -0.49871629476547241   0.5017087459564209,0.56757044792175293 0.40900081396102905 0.31906658411026001, 0.49705952405929565 -0.50249600410461426 -0.49871629476547241   0.5017087459564209
1714566282.6982999,0.56758034229278564 0.40899801254272461 0.31907173991203308, 0.49708342552185059 -0.50247865915298462 -0.49874106049537659  0.50167781114578247,0.56758034229278564 0.40899801254272461 0.31907173991203308, 0.49708342552185059 -0.50247865915298462 -0.49874106049537659  0.50167781114578247
1714566282.7032955,0.56757354736328125 0.40903517603874207 0.31904423236846924, 0.49706169962882996 -0.50254571437835693 -0.49866330623626709   0.5017094612121582,0.56757354736328125 0.40903517603874207 0.31904423236846924, 0.49706169962882996 -0.50254571437835693 -0.49866330623626709   0.5017094612121582
1714566282.7082639,0.56753408908843994 0.40906396508216858 0.31910577416419983, 0.49706247448921204 -0.50259900093078613 -0.49861383438110352  0.50170451402664185,0.56753408908843994 0.40906396508216858 0.31910577416419983, 0.49706247448921204 -0.50259900093078613 -0.49861383438110352  0.50170451402664185
1714566282.7132862,0.56753724813461304 0.40907847881317139 0.31908726692199707, 0.49701312184333801 -0.50263744592666626 -0.49860233068466187  0.50172626972198486,0.56753724813461304 0.40907847881317139 0.31908726692199707, 0.49701312184333801 -0.50263744592666626 -0.49860233068466187  0.50172626972198486
1714566282.7182539,0.56750959157943726 0.40910187363624573 0.31910344958305359, 0.49704000353813171 -0.50264441967010498 -0.49856859445571899  0.50172621011734009,0.56750959157943726 0.40910187363624573 0.31910344958305359, 0.49704000353813171 -0.50264441967010498 -0.49856859445571899  0.50172621011734009
1714566282.7233267,0.56751912832260132 0.40907636284828186 0.31910687685012817, 0.49705436825752258 -0.50261640548706055 -0.49859294295310974  0.50171589851379395,0.56751912832260132 0.40907636284828186 0.31910687685012817, 0.49705436825752258 -0.50261640548706055 -0.49859294295310974  0.50171589851379395
1714566282.7282689,0.56752222776412964 0.40905901789665222 0.31910416483879089, 0.49705395102500916 -0.50261259078979492  -0.4986012876033783  0.50171178579330444,0.56752222776412964 0.40905901789665222 0.31910416483879089, 0.49705395102500916 -0.50261259078979492  -0.4986012876033783  0.50171178579330444
1714566282.7332668,0.56754732131958008 0.40901011228561401 0.31910091638565063, 0.49707731604576111 -0.50254839658737183 -0.49865570664405823  0.50169885158538818,0.56754732131958008 0.40901011228561401 0.31910091638565063, 0.49707731604576111 -0.50254839658737183 -0.49865570664405823  0.50169885158538818
1714566282.7382536,0.56757980585098267  0.4089621901512146  0.3190874457359314, 0.49707967042922974 -0.50252985954284668 -0.49870103597640991  0.50167006254196167,0.56757980585098267  0.4089621901512146  0.3190874457359314, 0.49707967042922974 -0.50252985954284668 -0.49870103597640991  0.50167006254196167
