Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
42,2024-05-07_18:04:00__clean_paper,251,7,0.638,0.714533269405365,0.3965220288988614,4.387167158670525,"[0.56711465, 0.31382847, 0.21999744]","[0.58609504, 0.30041623, 0.19562742]","[-0.00323446025, 0.000855632126, -0.000276363222, 0.999994338]","[-0.698721528, -0.00435922109, 0.00016442177, 0.71538043]","[0.5670076, 0.42449924, 0.27992478]","[0.4875856, 0.8129788, 0.27758026]"
43,2024-05-06_15:31:11__clean_paper,129,7,0.642,0.7174153327941895,0.3301897706050836,4.376216195912776,"[0.56824839, 0.31215531, 0.22031593]","[0.58231747, 0.29499403, 0.19463252]","[-0.00279196864, 0.000874183141, -0.0261266977, 0.999654353]","[-0.69892132, -0.00335431, -0.00147692, 0.71518916]","[0.56845737, 0.42242366, 0.28005561]","[0.41833568, 0.7165069, 0.27810305]"
44,2024-05-15_14:20:51__clean_paper,399,7,0.649,0.7200822830200195,0.3414304899328774,4.3700482204661855,"[0.53853786, 0.3054176, 0.22017068]","[0.56049144, 0.29098654, 0.19712226]","[-0.00337148784, 0.000668112596, -0.00928247347, 0.999951005]","[-0.69968122, -0.00627639, 0.00118395, 0.71442664]","[0.53837955, 0.416545, 0.280083]","[0.4052259, 0.73093426, 0.27801424]"
45,2024-05-06_15:31:11__clean_paper,131,7,0.649,0.7243983745574951,0.438335454021407,4.404685257234101,"[0.55930543, 0.32193708, 0.22008109]","[0.57568121, 0.30876502, 0.19333738]","[-0.00304311584, 0.0010247404, -0.000709731772, 0.999994576]","[-0.69899362, -0.00403912, -0.00260588, 0.71511173]","[0.55948001, 0.43213657, 0.28019857]","[0.50011349, 0.86642647, 0.27777645]"
46,2024-05-15_14:20:51__clean_paper,405,7,0.644,0.7272674441337585,0.4057809976768842,4.371065803207522,"[0.53663498, 0.30782688, 0.22005913]","[0.55456358, 0.29366961, 0.20213033]","[-0.00381853129, 0.00074465794, -0.00334344641, 0.999986827]","[-0.7077269, -0.00306272, -0.00478335, 0.70646334]","[0.53648168, 0.41871643, 0.28006715]","[0.46473706, 0.81809771, 0.27771753]"
47,2024-05-06_14:23:00__clean_paper,73,7,0.657,0.7309378981590271,0.545128434170187,4.385148972128773,"[0.56570995, 0.31082767, 0.2202093]","[0.57735044, 0.29574242, 0.20574205]","[-0.0033834395, 0.00047970732, -0.00292945676, 0.999989867]","[-0.702364922, 0.000525144977, -0.000641734863, 0.711816549]","[0.56540525, 0.42199156, 0.28005773]","[0.48560062, 0.96123856, 0.2770749]"
48,2024-05-06_15:31:11__clean_paper,133,7,0.649,0.7342216968536377,0.3826625247357674,4.399472867229122,"[0.55609661, 0.31896657, 0.22008571]","[0.56866461, 0.30767637, 0.203134]","[-0.00401999, 0.00109179, 0.0037056, 0.99998444]","[-0.70908761, 0.00393956, -0.0011527, 0.70510846]","[0.55597663, 0.43009964, 0.28022853]","[0.57329375, 0.81236392, 0.2780512]"
49,2024-05-06_14:23:00__clean_paper,75,7,0.661,0.7380539774894714,0.4365557350939754,4.3930252424845655,"[0.56669122, 0.31304622, 0.22026309]","[0.56855971, 0.29875544, 0.20993806]","[-0.00366929313, 0.000800985494, -0.0137236882, 0.999898791]","[-0.70781976, -0.000151666041, -0.00635027187, 0.706364512]","[0.56683046, 0.42333978, 0.27990541]","[0.45367783, 0.84496933, 0.27747273]"
50,2024-05-06_15:31:11__clean_paper,137,7,0.666,0.7409034371376038,0.3172029271037618,4.420418053079508,"[0.55507499, 0.31927055, 0.22029248]","[0.55537796, 0.30247775, 0.22349565]","[-0.00322244223, 0.000920783321, 0.012638038, 0.999914527]","[-0.70792377, 0.000400928606, -0.00370792765, 0.706279039]","[0.5550552, 0.42949957, 0.27987421]","[0.61780012, 0.74043214, 0.27856833]"
51,2024-05-06_15:31:11__clean_paper,151,7,0.674,0.7442447543144226,0.3408792543915035,4.434219086507654,"[0.55670923, 0.31567371, 0.22031915]","[0.55454761, 0.30661717, 0.22386695]","[-0.00358694349, 0.000646898348, -0.0106052114, 0.999937117]","[-0.7072708, -0.00222202, -0.00568794, 0.70691633]","[0.5609675, 0.42768699, 0.28030485]","[0.47636205, 0.75789273, 0.27812466]"
52,2024-05-07_18:04:00__clean_paper,241,7,0.669,0.7447951436042786,0.3612385746463259,4.394433937102937,"[0.5571062, 0.31447917, 0.21959195]","[0.5706805, 0.30188498, 0.19884758]","[-0.00322822, 0.00118201, -0.01510526, 0.99988002]","[-0.70175666, -0.00431307, -0.00093642, 0.71240306]","[0.55681539, 0.42667761, 0.27984428]","[0.39336872, 0.74881589, 0.27751526]"
53,2024-05-06_15:31:11__clean_paper,153,7,0.675,0.7507105469703674,0.4011038397890746,4.393771332510478,"[0.56380236, 0.31985384, 0.22068399]","[0.57920361, 0.30403996, 0.19276924]","[-0.00378193776, 0.000845687697, -0.0116348248, 0.999924779]","[-0.6980477, -0.00492723, -0.00371495, 0.7160247]","[0.56419253, 0.43007728, 0.28002149]","[0.42966166, 0.80794197, 0.27801853]"
54,2024-05-06_14:23:00__clean_paper,89,7,0.685,0.751848042011261,0.4782247581456105,4.382358393912578,"[0.54508382, 0.31102824, 0.22004136]","[0.56337243, 0.29325682, 0.20462127]","[-0.00360803585, 0.000604699133, -0.00836548302, 0.999958336]","[-0.703088105, -0.00402570097, 0.000295172184, 0.71109128]","[0.55267584, 0.41945991, 0.28013018]","[0.39677039, 0.871548, 0.2771689]"
55,2024-05-07_18:04:00__clean_paper,233,7,0.684,0.7574447989463806,0.3647112947557234,4.412685894361891,"[0.55234385, 0.3215214, 0.2200492]","[0.56323278, 0.30535221, 0.20823459]","[-0.00399649329, 0.000876013364, -0.0306633301, 0.999521375]","[-0.70482302, -0.00162897, -0.00261538, 0.70937645]","[0.55193436, 0.43298417, 0.27969968]","[0.38540465, 0.75744778, 0.27734363]"
56,2024-05-15_14:20:51__clean_paper,373,7,0.686,0.760091245174408,0.3011755847542734,4.36157617071567,"[0.5416081, 0.30512351, 0.22033876]","[0.56367946, 0.29082739, 0.20475461]","[-0.00342017645, 0.000143678451, -0.00933705922, 0.999950528]","[-0.7090922, -0.00414171, 0.00220235, 0.70510018]","[0.54146743, 0.41573372, 0.28021717]","[0.42419562, 0.69313306, 0.27830243]"
57,2024-05-15_14:20:51__clean_paper,363,7,0.702,0.7615241408348083,0.4288797989408364,4.377121881785967,"[0.54555458, 0.30583769, 0.21991992]","[0.56220764, 0.28838468, 0.20922986]","[-0.00343500427, -0.000187433907, -0.00577045558, 0.99997741]","[-0.70366102, -0.00616229, -0.00203576, 0.7105062]","[0.5446223, 0.41632116, 0.28014565]","[0.43838763, 0.83182818, 0.27769729]"
58,2024-05-06_15:31:11__clean_paper,165,7,0.693,0.7669134140014648,0.4503142273134689,4.408904969375297,"[0.55727822, 0.3165217, 0.22039634]","[0.56358045, 0.30669275, 0.19777603]","[-0.00232446496, 0.000784559059, -0.00657216739, 0.999975383]","[-0.70116252, -0.0021771, -0.00654629, 0.71296811]","[0.55729294, 0.42841375, 0.28040719]","[0.47372794, 0.8708964, 0.2774241]"
