time,z_o,y_o,x_o,z_eef,y_eef,x_eef,flux
1718118044.662,0.32673802971839905,0.3182525932788849,0.45213958621025085,0.22956523299217224,0.5180693864822388,0.19077156484127045,0.8433802723884583
1718118044.664,0.3267360329627991,0.31824883818626404,0.45214706659317017,0.22931942343711853,0.517754316329956,0.1955726146697998,0.8496518135070801
1718118044.671,0.32673025131225586,0.3182440400123596,0.45216161012649536,0.22902598977088928,0.517356812953949,0.2004351019859314,0.8572632074356079
1718118044.676,0.3267236649990082,0.31824931502342224,0.45217397809028625,0.22882699966430664,0.5169579386711121,0.20535095036029816,0.8652668595314026
1718118044.682,0.32671529054641724,0.3182551860809326,0.45219019055366516,0.2286491096019745,0.5166270136833191,0.21023325622081757,0.8701885938644409
1718118044.686,0.32670465111732483,0.3182448148727417,0.45221269130706787,0.22848069667816162,0.5163070559501648,0.21507355570793152,0.8725600242614746
1718118044.69,0.3267323076725006,0.31824421882629395,0.45223742723464966,0.22831957042217255,0.5158923864364624,0.21998661756515503,0.8774768710136414
1718118044.696,0.32671818137168884,0.3182474374771118,0.45223912596702576,0.22820620238780975,0.5153579115867615,0.22498390078544617,0.8849687576293945
1718118044.701,0.3267197608947754,0.31825608015060425,0.45226219296455383,0.22813060879707336,0.5148440003395081,0.2299598753452301,0.8901183605194092
1718118044.706,0.3267175853252411,0.31823599338531494,0.45226556062698364,0.22813305258750916,0.5143736600875854,0.23490270972251892,0.8928389549255371
1718118044.712,0.32673370838165283,0.31825152039527893,0.45228374004364014,0.22837090492248535,0.513330340385437,0.244920551776886,0.9018301963806152
1718118044.714,0.3267252743244171,0.3182429373264313,0.4522780776023865,0.22853249311447144,0.512717604637146,0.2499372810125351,0.9058083891868591
1718118044.721,0.3267466127872467,0.31823426485061646,0.45224982500076294,0.2287493795156479,0.5120581984519958,0.25497251749038696,0.9100359678268433
1718118044.726,0.32675084471702576,0.3182373344898224,0.45225274562835693,0.22904694080352783,0.5113758444786072,0.26004230976104736,0.9149835705757141
1718118044.732,0.3266240954399109,0.31829604506492615,0.45253753662109375,0.22940796613693237,0.5106961131095886,0.26511216163635254,0.9191399216651917
1718118044.737,0.32639849185943604,0.31855589151382446,0.45531830191612244,0.22981160879135132,0.5100260376930237,0.2701684236526489,0.9221091866493225
1718118044.74,0.32711395621299744,0.31838560104370117,0.45817703008651733,0.23025290668010712,0.5093653798103333,0.275231271982193,0.9248740077018738
