Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
308,2024-05-06_11:23:17__clean_paper,75,7,0.65,0.64276522397995,0.33814859958394067,4.47267638995387,"[0.5442886352539062, 0.3283120393753052, 0.2188115417957306]","[0.554681658744812, 0.3172678053379059, 0.19626867771148682]",[-0.49653333  0.50414568  0.50126219 -0.49802408],"[-0.6913710832595825, 0.001184813561849296, -0.014298473484814167, 0.7223573923110962]"
309,2024-05-06_11:23:17__clean_paper,89,7,0.67,0.6494727730751038,0.3715682763004861,4.518388219000443,"[0.5581601858139038, 0.3312050700187683, 0.21896684169769287]","[0.5505520105361938, 0.3207181990146637, 0.21818043291568756]",[-0.47693065  0.52262217  0.51746637 -0.48128143],"[-0.6986469626426697, 0.01003036554902792, -0.014173484407365322, 0.715255856513977]"
310,2024-05-06_11:23:17__clean_paper,198,14,0.91,0.690753161907196,0.3425990058522779,4.716992792037474,"[0.5597588419914246, -0.28895020484924316, 0.1981813609600067]","[0.504729688167572, -0.2754670977592468, 0.21343466639518738]",[ 0.49748716 -0.50358129 -0.49818426  0.50072438],"[0.5078685879707336, -0.4811115264892578, 0.5223256349563599, 0.4876239001750946]"
311,2024-05-06_11:23:17__clean_paper,43,7,0.58,0.6232758164405823,0.4100579823639959,4.428671510680994,"[0.5442347526550293, 0.33031219244003296, 0.21902576088905334]","[0.5556541681289673, 0.3079645037651062, 0.20556572079658508]",[-0.47787961  0.52187866  0.51693529 -0.48171738],"[-0.7015609741210938, -0.002232407219707966, -0.009180910885334015, 0.7125467658042908]"
312,2024-05-06_11:23:17__clean_paper,116,14,0.72,0.6763474345207214,0.3865004803878733,4.753536135419494,"[0.5327437520027161, -0.28142720460891724, 0.198053777217865]","[0.48423510789871216, -0.26359865069389343, 0.2280389964580536]",[ 0.50443321 -0.49752173 -0.49316624  0.50478339],"[0.5114193558692932, -0.4953555762767792, 0.5104852318763733, 0.48215964436531067]"
313,2024-05-06_11:23:17__clean_paper,92,14,0.67,0.6436692476272583,0.3425540200720012,4.8039656760112335,"[0.5442753434181213, -0.29732584953308105, 0.1979610025882721]","[0.49216169118881226, -0.28205886483192444, 0.22387352585792542]",[ 0.49919465 -0.50234556 -0.49682012  0.50162077],"[0.5120662450790405, -0.4881444573402405, 0.5162116885185242, 0.4827304184436798]"
314,2024-05-06_11:23:17__clean_paper,238,14,1.03,0.7199051976203918,0.35998808982991726,4.931151118128603,"[0.5566609501838684, -0.3009060025215149, 0.1981426477432251]","[0.5081068873405457, -0.283632755279541, 0.20991794764995575]",[ 0.4984583  -0.50262022 -0.49597582  0.50291175],"[0.4903455078601837, -0.45711860060691833, 0.5541554093360901, 0.49347302317619324]"
315,2024-05-06_11:23:17__clean_paper,148,14,0.77,0.5810755491256714,0.217422661768239,5.457896386536538,"[0.5336388349533081, -0.35618239641189575, 0.1979258954524994]","[0.46823397278785706, -0.33372145891189575, 0.25258830189704895]",[-0.49649557  0.50452018  0.5016945  -0.49724659],"[0.5418906211853027, -0.4961716830730438, 0.5017180442810059, 0.4565602242946625]"
316,2024-05-06_11:23:17__clean_paper,150,14,0.77,0.6561944484710693,0.31837583326009655,5.01383621071588,"[0.5445263981819153, -0.3118646740913391, 0.19749045372009277]","[0.48315736651420593, -0.29459238052368164, 0.24208126962184906]",[ 0.52216619 -0.48010972 -0.47670987  0.51921558],"[0.5283035039901733, -0.4963442087173462, 0.5059742331504822, 0.467469722032547]"
317,2024-05-06_11:23:17__clean_paper,149,7,0.77,0.6463706493377686,0.358627282580444,4.529176903492884,"[0.5468039512634277, 0.3188955783843994, 0.21892067790031433]","[0.547188937664032, 0.3111512064933777, 0.19853612780570984]",[-0.49590799  0.50530165  0.50443298 -0.49425989],"[-0.6807796955108643, 0.01195619162172079, -0.025009172037243843, 0.7319635152816772]"
