Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
31,2024-05-01_14:09:10,92,7,1.14,1.0505763292312622,0.7086902523013467,4.706809678671864,"[0.5592714548110962, 0.3096984028816223, 0.21985632181167603]","[0.5517981648445129, 0.3009043335914612, 0.20737242698669434]",[-3.08033009e-03  3.26920504e-04 -2.69608549e-03  9.99991596e-01],"[-0.7039058208465576, 0.010808906517922878, -0.004975045099854469, 0.7101936936378479]"
32,2024-05-01_14:09:10,64,7,0.92,0.9444313049316406,0.3794658008853817,4.569671994681632,"[0.5551921129226685, 0.3097718358039856, 0.21975454688072205]","[0.5392946600914001, 0.29451149702072144, 0.22248908877372742]",[-2.90758489e-03  6.76765980e-04  4.54504881e-03  9.99985218e-01],"[-0.7075707316398621, 0.00017648976063355803, -0.009653314016759396, 0.7065765261650085]"
33,2024-05-01_14:09:10,84,7,1.11,1.055835485458374,0.7058719039245771,4.728522747426026,"[0.5567966103553772, 0.312824547290802, 0.21985480189323425]","[0.5538130402565002, 0.3025904595851898, 0.20834791660308838]",[-3.61059676e-03  1.87545505e-04 -7.96161685e-03  9.99961793e-01],"[-0.7055358290672302, 0.008394822478294373, -0.00911576859652996, 0.708565890789032]"
34,2024-05-01_14:09:10,34,7,0.72,0.7878537774085999,0.3289394006442196,4.52846051666891,"[0.5568988919258118, 0.3130354881286621, 0.21952763199806213]","[0.5702468752861023, 0.3047064542770386, 0.20486871898174286]",[-3.18425451e-03  3.98500531e-04 -4.10708506e-03  9.99986410e-01],"[-0.7072383165359497, -0.0034841890446841717, -0.003351191757246852, 0.7069587111473083]"
35,2024-05-01_14:09:10,93,7,1.14,1.0478602647781372,0.6833270048046596,4.7130642016453095,"[0.5540372729301453, 0.3101806044578552, 0.2198980450630188]","[0.5519816875457764, 0.30150237679481506, 0.20297539234161377]",[-2.84514180e-03  1.16300085e-04  1.24524636e-02  9.99918401e-01],"[-0.7021989822387695, 0.008239710703492165, -0.005978016648441553, 0.7119079828262329]"
36,2024-05-01_14:09:10,68,7,0.95,0.9784717559814453,0.6783154285195347,4.629334737264423,"[0.557166337966919, 0.3150882124900818, 0.22035115957260132]","[0.5663756132125854, 0.3036409914493561, 0.1998034566640854]",[-2.64177774e-03  1.33881666e-04 -4.75084147e-04  9.99996364e-01],"[-0.7020213007926941, 0.0008307198877446353, -0.0026246639899909496, 0.7121506333351135]"
37,2024-05-01_14:09:10,72,7,0.98,0.9989283680915833,0.6324428564494902,4.614409343886718,"[0.5565109848976135, 0.31155097484588623, 0.22034510970115662]","[0.5630360841751099, 0.2971119284629822, 0.20492102205753326]",[-2.75347871e-03 -1.17185824e-04  5.40825911e-03  9.99981582e-01],"[-0.7051668763160706, 0.002400768920779228, -0.004243333358317614, 0.7090246081352234]"
38,2024-05-01_14:09:10,45,7,0.81,0.8740862607955933,0.42856733088516047,4.531426865205629,"[0.5551890730857849, 0.31333714723587036, 0.21995851397514343]","[0.5710880160331726, 0.2993635833263397, 0.20707428455352783]",[-3.60546331e-03 -1.47236249e-04  2.14069220e-03  9.99991179e-01],"[-0.710638165473938, -0.008092107251286507, -0.00499190716072917, 0.7034934163093567]"
39,2024-05-01_14:09:10,83,7,1.1,1.0189919471740723,0.48857783913554964,4.650082086320871,"[0.5523053407669067, 0.31504595279693604, 0.21977081894874573]","[0.5272259712219238, 0.3051665425300598, 0.23496948182582855]",[-3.77366203e-03  6.67442684e-04 -2.39811558e-03  9.99989808e-01],"[-0.7064656019210815, 0.0077404906041920185, -0.009986568242311478, 0.7076345682144165]"
40,2024-05-01_14:09:10,6,7,0.55,0.6333363056182861,0.1369094677372986,4.407818739753668,"[0.5604619979858398, 0.3100932836532593, 0.2202431857585907]","[0.5739373564720154, 0.2939493656158447, 0.23046159744262695]",[-2.82091601e-03  3.59281461e-04 -4.12953831e-03  9.99987423e-01],"[-0.7138592004776001, 0.0042528146877884865, 0.010780933313071728, 0.7001933455467224]"
41,2024-05-01_14:09:10,29,7,0.69,0.7675699591636658,0.26685971303425515,4.4782102123872685,"[0.5598167777061462, 0.3137361407279968, 0.21987402439117432]","[0.5592482089996338, 0.3029024600982666, 0.21943210065364838]",[-4.45773499e-03  7.98854511e-04  6.80342026e-04  9.99989510e-01],"[-0.7109726071357727, 0.0007233511423692107, -0.0021627331152558327, 0.703216016292572]"
42,2024-05-01_14:09:10,96,7,1.16,1.045122504234314,0.7521662577436231,4.6837411965496765,"[0.5561662316322327, 0.3120291829109192, 0.2197290062904358]","[0.550974428653717, 0.29524701833724976, 0.20265011489391327]",[-2.93350755e-03  4.54989677e-05  2.23189639e-03  9.99993205e-01],"[-0.7004298567771912, 0.01015639677643776, -0.0034555047750473022, 0.713640570640564]"
43,2024-05-01_14:09:10,87,7,1.12,1.0194668769836426,0.5768115520742649,4.618006055601431,"[0.5524419546127319, 0.3126492500305176, 0.21998772025108337]","[0.5288613438606262, 0.2958318591117859, 0.22991329431533813]",[-2.86128698e-03  2.85233633e-04  2.82408507e-03  9.99991894e-01],"[-0.6994269490242004, 0.00714378384873271, -0.006943870801478624, 0.7146346569061279]"
44,2024-05-01_14:09:10,1,7,0.51,0.5971669554710388,0.15844261308961638,4.398758285091031,"[0.5572006702423096, 0.3053957223892212, 0.21974501013755798]","[0.5709952116012573, 0.29508569836616516, 0.20969854295253754]",[-4.81942482e-03 -7.57142880e-06  7.50928302e-04  9.99988079e-01],"[-0.7111443281173706, -0.0013664565049111843, -0.004819008056074381, 0.7030282020568848]"
45,2024-05-01_14:09:10,23,7,0.63,0.7049967050552368,0.21705455787727754,4.484992330740468,"[0.5558122992515564, 0.31610697507858276, 0.22038838267326355]","[0.5540516972541809, 0.30662235617637634, 0.23081247508525848]",[-4.62362356e-03  9.02937085e-04 -4.94470587e-03  9.99976695e-01],"[-0.7098333835601807, 0.001616835012100637, -0.004704849794507027, 0.704352080821991]"
46,2024-05-01_14:09:10,88,7,1.13,1.0503907203674316,0.5469562404851154,4.670975925447985,"[0.5555477738380432, 0.30989205837249756, 0.22008666396141052]","[0.5481052994728088, 0.29749566316604614, 0.21855096518993378]",[-3.38466000e-03  2.16236833e-04  9.92086343e-03  9.99945045e-01],"[-0.7043548226356506, 0.009023647755384445, -0.0073470002971589565, 0.7097527384757996]"
47,2024-05-01_14:09:10,36,7,0.75,0.8255804777145386,0.397702736491924,4.495278638310095,"[0.5593161582946777, 0.3107200264930725, 0.21994483470916748]","[0.5722056031227112, 0.29937028884887695, 0.20792816579341888]",[-3.46926507e-03  1.67953607e-04  2.25322274e-03  9.99991417e-01],"[-0.7093359231948853, -0.006137686315923929, -0.006207589991390705, 0.7048165202140808]"
48,2024-05-01_14:09:10,76,7,1.03,1.023327112197876,0.6408419260354251,4.669044573189156,"[0.5554580092430115, 0.31175994873046875, 0.21971052885055542]","[0.5592175126075745, 0.29931846261024475, 0.20575569570064545]",[-2.83462601e-03  3.35146774e-06  7.14214565e-03  9.99970496e-01],"[-0.7063261270523071, 0.004922211170196533, -0.0021087597124278545, 0.7078663110733032]"
49,2024-05-01_14:09:10,25,7,0.65,0.7242966890335083,0.22198918592223174,4.480653012650865,"[0.5616447329521179, 0.31722235679626465, 0.21975591778755188]","[0.5616772770881653, 0.3040323853492737, 0.22392450273036957]",[-3.51424864e-03  5.20434522e-04  1.87211484e-03  9.99991953e-01],"[-0.7126942873001099, -0.004032093100249767, -0.0021718835923820734, 0.7014598250389099]"
50,2024-05-01_14:09:10,55,7,0.88,0.9165310263633728,0.5251434596135116,4.565013014690802,"[0.558785617351532, 0.3131123185157776, 0.21988216042518616]","[0.562252402305603, 0.2995167374610901, 0.20610055327415466]",[-3.11267679e-03  3.17406346e-04 -1.84294302e-03  9.99993384e-01],"[-0.7047393918037415, 0.0009463580208830535, -0.0034563341177999973, 0.7094572186470032]"
51,2024-05-01_14:09:10,5,7,0.55,0.62923264503479,0.14286202769560843,4.43548223781038,"[0.5587098598480225, 0.30642467737197876, 0.21989908814430237]","[0.5749738812446594, 0.2930196225643158, 0.22553981840610504]",[-3.06085474e-03  2.24809890e-04  7.13875564e-03  9.99969780e-01],"[-0.711929440498352, 0.0030584598425775766, 0.01151032280176878, 0.7021499872207642]"
52,2024-05-01_14:09:10,33,7,0.72,0.7968138456344604,0.332836996470191,4.490071461657078,"[0.5544002652168274, 0.3131014108657837, 0.21990230679512024]","[0.5702210664749146, 0.3030678629875183, 0.21152152121067047]",[-3.16084386e-03  2.64094240e-04 -3.42512736e-03  9.99989092e-01],"[-0.7083890438079834, -0.0001440444466425106, -0.003439821070060134, 0.7058137655258179]"
53,2024-05-01_14:09:10,39,7,0.77,0.8291742205619812,0.33619361203756476,4.462781593583807,"[0.5545993447303772, 0.30773913860321045, 0.21981844305992126]","[0.5511038899421692, 0.2936406135559082, 0.2143079936504364]",[-3.24523053e-03  4.37725248e-04  8.58257338e-03  9.99957800e-01],"[-0.7090895771980286, 0.000276879669399932, -0.0051868027076125145, 0.7050992250442505]"
54,2024-05-01_14:09:10,13,7,0.58,0.659795343875885,0.19163272014259466,4.447689422352606,"[0.5601672530174255, 0.30749034881591797, 0.2198694348335266]","[0.5567099452018738, 0.2966538667678833, 0.22711028158664703]",[-4.39015217e-03  5.42561116e-04  1.07398489e-03  9.99989629e-01],"[-0.7108200788497925, -0.0056648701429367065, -0.007153728511184454, 0.7033147215843201]"
55,2024-05-01_14:09:10,58,7,0.89,0.9287033677101135,0.5814823174098996,4.5722667128511345,"[0.5549883246421814, 0.3076478838920593, 0.21985891461372375]","[0.5673622488975525, 0.2932193875312805, 0.19901585578918457]",[-3.58715374e-03  3.84670682e-04  2.79566669e-03  9.99989569e-01],"[-0.7024900913238525, 7.481243665097281e-05, 0.0031568284612149, 0.7116864919662476]"
56,2024-05-01_14:09:10,7,7,0.55,0.617196261882782,0.13898764546659248,4.4264806567897725,"[0.5571224689483643, 0.3085273504257202, 0.21990495920181274]","[0.5825145244598389, 0.29648715257644653, 0.19666683673858643]",[-3.05542373e-03  5.06419863e-04  3.51660629e-03  9.99989033e-01],"[-0.7051196098327637, -0.0063637071289122105, 0.007422277238219976, 0.7090209722518921]"
57,2024-05-01_14:09:10,2,7,0.52,0.6069756150245667,0.0919821471325872,4.403192266732332,"[0.5565758943557739, 0.30584287643432617, 0.21970725059509277]","[0.5744699239730835, 0.2938682436943054, 0.21090663969516754]",[-3.92797682e-03  5.86821814e-04 -2.49004783e-03  9.99989033e-01],"[-0.7112807035446167, -0.0009467946947552264, -0.0017451326129958034, 0.7029052972793579]"
58,2024-05-01_14:09:10,94,7,1.14,1.0461941957473755,0.6859782522593513,4.697315107544859,"[0.5564385056495667, 0.31116151809692383, 0.21983975172042847]","[0.5537207126617432, 0.3020520508289337, 0.20777729153633118]",[-2.75949039e-03  4.56412527e-04  9.38860292e-04  9.99995649e-01],"[-0.703181803226471, 0.00959682185202837, -0.007336835842579603, 0.7109074592590332]"
59,2024-05-01_14:09:10,54,7,0.87,0.9233484268188477,0.5191639005413672,4.559396847692031,"[0.5549033284187317, 0.3107847571372986, 0.22004231810569763]","[0.5655040144920349, 0.2971920967102051, 0.20589758455753326]",[-3.41999647e-03  2.67178460e-04 -7.42174976e-04  9.99993861e-01],"[-0.7068463563919067, 0.0004331892414484173, -0.0005028723971918225, 0.7073668241500854]"
60,2024-05-01_14:09:10,26,7,0.66,0.7341275215148926,0.24030622281075933,4.462174172158261,"[0.5589835047721863, 0.3104933500289917, 0.2201441526412964]","[0.5567999482154846, 0.29595816135406494, 0.223380446434021]",[-3.00947716e-03  2.72747769e-04  5.95428282e-03  9.99977708e-01],"[-0.7093660235404968, -0.0036943876184523106, -0.005837150849401951, 0.7048064470291138]"
61,2024-05-01_14:09:10,17,7,0.6,0.678600549697876,0.23867399261036065,4.440602870844424,"[0.5538581609725952, 0.30843716859817505, 0.2199265956878662]","[0.5623046159744263, 0.2951125204563141, 0.2140604555606842]",[-2.99431640e-03  2.38853856e-04  3.98573978e-03  9.99987543e-01],"[-0.709272563457489, -0.0005432732286863029, -0.0035955451894551516, 0.7049249410629272]"
62,2024-05-01_14:09:10,53,7,0.87,0.921657145023346,0.5726175584606645,4.586835020692027,"[0.5568844079971313, 0.3136703372001648, 0.21995341777801514]","[0.5675987601280212, 0.30270498991012573, 0.19829513132572174]",[-2.91915331e-03  9.96724921e-05  2.97802821e-04  9.99995708e-01],"[-0.702248215675354, -0.0014209301443770528, -0.0003331258485559374, 0.7119306921958923]"
63,2024-05-01_14:09:10,73,7,0.98,0.9980276823043823,0.622563669535805,4.659529155322281,"[0.5572811365127563, 0.3143736720085144, 0.22049888968467712]","[0.5636293888092041, 0.30569708347320557, 0.20783494412899017]",[-2.96460651e-03  7.26105936e-05 -3.48126632e-03  9.99989569e-01],"[-0.7062342166900635, 0.0034301935229450464, -0.004804798401892185, 0.707953691482544]"
64,2024-05-01_14:09:10,38,7,0.77,0.8329136967658997,0.35256096490726035,4.501161696323459,"[0.5595616698265076, 0.31171727180480957, 0.21990323066711426]","[0.5508272647857666, 0.302871435880661, 0.217150017619133]",[-3.14321253e-03  2.66995165e-04  2.20509805e-03  9.99992609e-01],"[-0.7100074291229248, 6.327535083983094e-05, -0.00770165491849184, 0.7041520476341248]"
65,2024-05-01_14:09:10,103,7,0.53,0.6142483353614807,0.1726811430463124,4.45335599666049,"[0.5581137537956238, 0.3124706745147705, 0.2199213206768036]","[0.5736634731292725, 0.3035641610622406, 0.20893673598766327]",[-3.44791426e-03  1.47180501e-04  4.79298132e-03  9.99982536e-01],"[-0.7113350629806519, -0.002195443958044052, -0.003614897606894374, 0.7028403282165527]"
66,2024-05-01_14:09:10,100,7,1.19,1.040816307067871,0.5940239412309826,4.669811333227609,"[0.5580533146858215, 0.3155254125595093, 0.21966853737831116]","[0.5492938756942749, 0.2962196469306946, 0.20513679087162018]",[-2.68326374e-03 -3.44567612e-04  7.56652385e-04  9.99996066e-01],"[-0.7033787369728088, 0.012077772989869118, -0.01123730931431055, 0.7106238007545471]"
67,2024-05-01_14:09:10,90,7,1.13,1.0523338317871094,0.598095009687814,4.714728390585362,"[0.5569008588790894, 0.31162142753601074, 0.21997180581092834]","[0.5505956411361694, 0.30241647362709045, 0.2080942839384079]",[-3.44002200e-03 -1.74328496e-04  1.14523061e-02  9.99928474e-01],"[-0.7051606774330139, 0.010028143413364887, -0.007500342093408108, 0.7089369893074036]"
68,2024-05-01_14:09:10,32,7,0.71,0.7781587839126587,0.2897785306780042,4.492617749614965,"[0.55760657787323, 0.3099128007888794, 0.21987223625183105]","[0.558760404586792, 0.300834983587265, 0.22338728606700897]",[-3.05096596e-03  2.73887650e-04 -1.21076719e-03  9.99994576e-01],"[-0.7110322117805481, -0.00592873664572835, -0.007931816391646862, 0.703089714050293]"
69,2024-05-01_14:09:10,97,7,1.16,1.047007441520691,0.6503673576894772,4.704906309714972,"[0.5527436137199402, 0.31436294317245483, 0.2200365960597992]","[0.5486146807670593, 0.3052821457386017, 0.2068796306848526]",[-3.25124362e-03 -8.29060518e-05 -1.02712237e-03  9.99994159e-01],"[-0.7042759656906128, 0.011420030146837234, -0.009534678421914577, 0.7097703814506531]"
