Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
868,2024-05-02_11-11-26,444,14,1.02,0.8069034218788147,0.4936291387975393,4.963293416517301,"[0.538313090801239, -0.3165396451950073, 0.19889788329601288]","[0.4814302623271942, -0.29534655809402466, 0.20611891150474548]",[-3.31643829e-03  7.82108575e-04  5.03087491e-02  9.98727918e-01],"[0.49856793880462646, -0.46480968594551086, 0.5417455434799194, 0.49182695150375366]"
869,2024-05-02_11-11-26,27,7,0.53,0.6065236330032349,0.26167309251584536,4.366519530274007,"[0.5720364451408386, 0.3050188422203064, 0.2198212444782257]","[0.5873383283615112, 0.2916286587715149, 0.198992520570755]",[-3.55770485e-03  3.32205935e-04  6.40588626e-03  9.99973118e-01],"[-0.7047787308692932, -0.005250428803265095, -0.0014424934051930904, 0.709406316280365]"
870,2024-05-02_11-11-26,310,14,0.85,0.8149564266204834,0.37572216558077065,4.7476439833541715,"[0.5453128814697266, -0.3070688843727112, 0.19911248981952667]","[0.4973726272583008, -0.2751721739768982, 0.22467148303985596]",[-0.00270523  0.00118314  0.05828567  0.99829561],"[0.5070846676826477, -0.490437775850296, 0.5159799456596375, 0.4859018623828888]"
871,2024-05-02_11-11-26,373,7,0.91,0.8576563000679016,0.5435408192581224,4.415335124411131,"[0.5651599168777466, 0.30426639318466187, 0.22002291679382324]","[0.5636785626411438, 0.28977060317993164, 0.19847872853279114]",[-1.12895493e-03  2.56613246e-04 -8.07679142e-04  9.99998987e-01],"[-0.693144679069519, 0.0053628310561180115, -0.019059190526604652, 0.7205265164375305]"
872,2024-05-02_11-11-26,524,14,1.09,0.8615564703941345,0.3235015639586869,5.058239250701615,"[0.5324394106864929, -0.3324980139732361, 0.19809149205684662]","[0.47517433762550354, -0.302505761384964, 0.21529068052768707]",[-2.55867001e-03  4.73691325e-04  1.20420326e-02  9.99924123e-01],"[0.5008684396743774, -0.47201675176620483, 0.5353935956954956, 0.4895760715007782]"
873,2024-05-02_11-11-26,148,14,0.66,0.659924328327179,0.19187143720101243,4.673099232933046,"[0.5668889284133911, -0.30819815397262573, 0.19878248870372772]","[0.5144568085670471, -0.27847933769226074, 0.22868283092975616]",[-0.00216374  0.00102361  0.01296492  0.9999131 ],"[0.5183573365211487, -0.4955790638923645, 0.5023291707038879, 0.48308640718460083]"
874,2024-05-02_11-11-26,392,14,0.94,0.7571894526481628,0.2519956408171936,4.722008188470914,"[0.5872135162353516, -0.32446813583374023, 0.19923771917819977]","[0.53365159034729, -0.29220321774482727, 0.19200678169727325]",[-4.91843047e-03 -9.36812139e-05  6.60601771e-03  9.99966085e-01],"[0.49137791991233826, -0.4553954005241394, 0.5507369637489319, 0.49784693121910095]"
875,2024-05-02_11-11-26,379,7,0.92,0.8373326659202576,0.4816739175697171,4.453692921202811,"[0.5693047642707825, 0.3201126456260681, 0.22064772248268127]","[0.5712670087814331, 0.3006134629249573, 0.19505935907363892]",[-2.77234288e-03  7.28490006e-04 -4.17424925e-02  9.99124289e-01],"[-0.684089183807373, 0.005260303150862455, -0.016778741031885147, 0.7291864156723022]"
876,2024-05-02_11-11-26,471,7,1.04,0.9168773889541626,0.5750043476997786,4.495102793642152,"[0.5304969549179077, 0.29540449380874634, 0.2198643684387207]","[0.5197575688362122, 0.284167617559433, 0.221577987074852]",[-2.90240580e-03  4.79851238e-04  2.23288941e-03  9.99993205e-01],"[-0.6895726323127747, 0.004964437335729599, -0.02005951665341854, 0.7239216566085815]"
877,2024-05-02_11-11-26,31,7,0.53,0.601548433303833,0.19292442920200087,4.377788041280154,"[0.569426417350769, 0.30911070108413696, 0.21993926167488098]","[0.5847633481025696, 0.2967444956302643, 0.19994793832302094]",[-2.46148696e-03 -7.02859961e-06 -1.92542598e-02  9.99811590e-01],"[-0.7054409384727478, -0.002136115450412035, 0.0003635072207543999, 0.7087653875350952]"
