Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
11,2024-05-07_18:04:00__clean_paper,271,7,0.574,0.6485322713851929,0.3208506323332902,4.38395642073655,"[0.55438036, 0.31574577, 0.21990371]","[0.57079369, 0.30114239, 0.18908373]","[-0.00259855459, 0.000552548445, -0.00313827349, 0.999991536]","[-0.69911921, -0.00468044821, -0.000555061852, 0.714989603]","[0.55435777, 0.42666149, 0.27990299]","[0.46931207, 0.73602927, 0.27791876]"
12,2024-05-07_18:04:00__clean_paper,285,7,0.536,0.6117422580718994,0.3037121997541829,4.394525445754588,"[0.55001158, 0.3128494, 0.22006702]","[0.56406248, 0.30042034, 0.20681846]","[-0.00437856745, 0.000979174394, 0.00393787306, 0.999982178]","[-0.706641495, -0.000577256142, -0.00102911028, 0.707570791]","[0.54973382, 0.42469063, 0.28017583]","[0.54866666, 0.72839433, 0.27816916]"
13,2024-05-07_18:04:00__clean_paper,237,7,0.675,0.7514548897743225,0.4291504693278806,4.392608589302079,"[0.55046397, 0.31290311, 0.21978658]","[0.56774265, 0.30083802, 0.19902377]","[-0.00384306, 0.0013693, -0.002273, 0.99998909]","[-0.70044953, -0.00467671, 0.00093695, 0.71368599]","[0.55018365, 0.42326298, 0.27966538]","[0.43828809, 0.83756208, 0.27726457]"
14,2024-05-07_18:04:00__clean_paper,261,7,0.593,0.6680783629417419,0.3588378741319926,4.392257557808481,"[0.55638647, 0.31506652, 0.21936178]","[0.57234561, 0.3022126, 0.19721717]","[-0.00283491658, 0.000657412922, 0.00240592752, 0.999992847]","[-0.702070057, -0.00178950594, 0.000335070508, 0.712105572]","[0.56121886, 0.42706841, 0.27989179]","[0.53299844, 0.78478891, 0.27782393]"
15,2024-05-07_18:04:00__clean_paper,219,7,0.715,0.7777680158615112,0.3859892015607454,4.384346227444995,"[0.55480337, 0.30962127, 0.22005284]","[0.57629168, 0.29887533, 0.19184949]","[-0.00278793, 0.00111568, -0.00848242, 0.99995953]","[-0.695804715, -0.00884409435, 0.000415497227, 0.718176484]","[0.55474573, 0.42083851, 0.27991548]","[0.38200781, 0.76601011, 0.27749914]"
16,2024-05-07_18:04:00__clean_paper,265,7,0.581,0.6566300988197327,0.3190376500920603,4.389935723737735,"[0.55196679, 0.31306368, 0.2201795]","[0.57059038, 0.30188465, 0.19814414]","[-0.00366415759, 0.000814244791, 0.000127751497, 0.999992967]","[-0.70252389, -0.00287355, 0.0016199, 0.71165252]","[0.5519253, 0.42515653, 0.27978697]","[0.49172267, 0.73845649, 0.27783644]"
17,2024-05-07_18:04:00__clean_paper,205,7,0.733,0.7995450496673584,0.4265937164781928,4.439676601363747,"[0.54466957, 0.31610656, 0.21969995]","[0.55282569, 0.30893221, 0.22146156]","[-0.00375913037, 0.000679459015, -0.00433348911, 0.999983311]","[-0.70778388, 0.00095558, -0.00392686, 0.7064175]","[0.54437119, 0.42751539, 0.27991453]","[0.50352603, 0.85214263, 0.27755329]"
18,2024-05-07_18:04:00__clean_paper,243,7,0.668,0.7432636022567749,0.3741032031944342,4.388699238416018,"[0.5615378, 0.31139708, 0.21990106]","[0.57075995, 0.29911456, 0.19704741]","[-0.00312310038, 0.000941974286, -0.0116327526, 0.999927044]","[-0.70072526, -0.00172455, -0.00176676, 0.71342695]","[0.56114018, 0.4226985, 0.27991861]","[0.43113884, 0.77347952, 0.27756643]"
19,2024-05-07_18:04:00__clean_paper,273,7,0.563,0.6371545195579529,0.2584517227495569,4.3852435331429,"[0.5593133, 0.31561202, 0.21989506]","[0.5779705, 0.30048284, 0.19617625]","[-0.00404673489, 0.000656795688, -0.00927084591, 0.999948621]","[-0.702845335, -0.0006140396, 0.00200083526, 0.711339653]","[0.55921507, 0.42617664, 0.27985129]","[0.46613973, 0.6672824, 0.27833965]"
20,2024-05-07_18:04:00__clean_paper,251,7,0.638,0.714533269405365,0.3965220288988614,4.387167158670525,"[0.56711465, 0.31382847, 0.21999744]","[0.58609504, 0.30041623, 0.19562742]","[-0.00323446025, 0.000855632126, -0.000276363222, 0.999994338]","[-0.698721528, -0.00435922109, 0.00016442177, 0.71538043]","[0.5670076, 0.42449924, 0.27992478]","[0.4875856, 0.8129788, 0.27758026]"
